,concelho,CCA_2
33,Angra do heroísmo,4301
34,Calheta,4501
35,Corvo,4901
36,Horta,4701
37,Lagoa,4201
38,Lajes das flores,4801
39,Lajes do pico,4601
40,Madalena,4602
41,Nordeste,4202
42,Ponta delgada,4203
43,Povoação,4204
44,Praia da vitória,4302
45,Ribeira grande,4205
46,São roque do pico,4603
47,Santa cruz da graciosa,4401
48,Santa cruz das flores,4802
49,Velas,4502
50,Vila do porto,4101
51,Vila franca do campo,4206
