,concelho,CCA_2
182,Câmara de lobos,3102
183,Calheta,3101
184,Funchal,3103
185,Machico,3104
186,Ponta do sol,3105
187,Porto moniz,3106
188,Porto santo,3201
189,Ribeira brava,3107
190,São vicente,3110
191,Santa cruz,3108
192,Santana,3109
